sample,series,condition,file,protein_set,UMAP1,UMAP2
100_1,conc,100,LL2112_NC_conc.csv,post_iqr,10.225801,4.3572164
100_2,conc,100,LL2112_NC_conc.csv,post_iqr,2.9099038,0.69380003
100_3,conc,100,LL2112_NC_conc.csv,post_iqr,10.926737,5.468001
100_4,conc,100,LL2112_NC_conc.csv,post_iqr,2.8248143,-1.3430295
100_5,conc,100,LL2112_NC_conc.csv,post_iqr,3.4566674,-0.49826682
100_6,conc,100,LL2112_NC_conc.csv,post_iqr,2.9207716,-1.4723234
100_7,conc,100,LL2112_NC_conc.csv,post_iqr,2.9571893,0.56219894
100_8,conc,100,LL2112_NC_conc.csv,post_iqr,3.4188492,-1.0710956
100_9,conc,100,LL2112_NC_conc.csv,post_iqr,2.5198865,-2.010294
100_10,conc,100,LL2112_NC_conc.csv,post_iqr,2.8239443,0.44417873
100_11,conc,100,LL2112_NC_conc.csv,post_iqr,3.0218923,0.19369979
100_12,conc,100,LL2112_NC_conc.csv,post_iqr,11.515528,5.786204
100_13,conc,100,LL2112_NC_conc.csv,post_iqr,3.1547604,0.082863115
100_14,conc,100,LL2112_NC_conc.csv,post_iqr,2.9975553,1.0116416
100_15,conc,100,LL2112_NC_conc.csv,post_iqr,3.3846178,-0.16795054
100_16,conc,100,LL2112_NC_conc.csv,post_iqr,2.986765,-1.4681396
100_17,conc,100,LL2112_NC_conc.csv,post_iqr,3.0540576,0.057892576
100_18,conc,100,LL2112_NC_conc.csv,post_iqr,4.035045,0.1948914
100_19,conc,100,LL2112_NC_conc.csv,post_iqr,3.3665009,-0.7906007
100_20,conc,100,LL2112_NC_conc.csv,post_iqr,11.020808,5.2008023
100_21,conc,100,LL2112_NC_conc.csv,post_iqr,2.9959483,-1.4410648
100_22,conc,100,LL2112_NC_conc.csv,post_iqr,3.231749,0.5246081
100_23,conc,100,LL2112_NC_conc.csv,post_iqr,10.967713,4.7465916
100_24,conc,100,LL2112_NC_conc.csv,post_iqr,3.6170418,-0.50514615
100_25,conc,100,LL2112_NC_conc.csv,post_iqr,11.141859,5.9719443
100_26,conc,100,LL2112_NC_conc.csv,post_iqr,3.5849614,-0.658316
100_27,conc,100,LL2112_NC_conc.csv,post_iqr,3.2590258,0.38767338
100_28,conc,100,LL2112_NC_conc.csv,post_iqr,3.5530922,-0.6295648
100_29,conc,100,LL2112_NC_conc.csv,post_iqr,3.0899754,-1.4147564
100_30,conc,100,LL2112_NC_conc.csv,post_iqr,10.66825,4.6552577
100_31,conc,100,LL2112_NC_conc.csv,post_iqr,11.610234,5.74375
100_32,conc,100,LL2112_NC_conc.csv,post_iqr,3.4553509,0.0782313
100_33,conc,100,LL2112_NC_conc.csv,post_iqr,2.2026439,-1.7941139
100_34,conc,100,LL2112_NC_conc.csv,post_iqr,4.842976,15.214615
100_35,conc,100,LL2112_NC_conc.csv,post_iqr,2.9899383,0.47042218
100_36,conc,100,LL2112_NC_conc.csv,post_iqr,9.880659,3.7859702
100_37,conc,100,LL2112_NC_conc.csv,post_iqr,3.4318469,0.54839236
100_38,conc,100,LL2112_NC_conc.csv,post_iqr,3.3011308,1.1754613
